Elements,Runs,Algorithm,Variant,Elapsed time(ms)
1000,10000,quick sort,reversed,0.070183590
1000,10000,quick sort,random,0.105760450
1000,10000,quick sort,partially sorted 10%,0.071576270
1000,10000,quick sort,partially sorted 30%,0.056466760
1000,10000,quick sort,partially sorted 50%,0.054997620
1000,10000,quick sort,partially sorted 70%,0.058145060
1000,10000,quick sort,partially sorted 90%,0.059008690

10000,100,quick sort,reversed,0.985096000
10000,100,quick sort,random,1.643057000
10000,100,quick sort,partially sorted 10%,1.037354000
10000,100,quick sort,partially sorted 30%,0.801616000
10000,100,quick sort,partially sorted 50%,0.862384000
10000,100,quick sort,partially sorted 70%,0.877078000
10000,100,quick sort,partially sorted 90%,0.887656000

100000,10,quick sort,reversed,10.814790000
100000,10,quick sort,random,17.829920000
100000,10,quick sort,partially sorted 10%,7.444640000
100000,10,quick sort,partially sorted 30%,9.067950000
100000,10,quick sort,partially sorted 50%,6.473890000
100000,10,quick sort,partially sorted 70%,5.994420000
100000,10,quick sort,partially sorted 90%,8.198890000

1000000,1,quick sort,reversed,140.477000000
1000000,1,quick sort,random,273.876300000
1000000,1,quick sort,partially sorted 10%,74.159700000
1000000,1,quick sort,partially sorted 30%,74.161400000
1000000,1,quick sort,partially sorted 50%,116.284200000
1000000,1,quick sort,partially sorted 70%,55.150300000
1000000,1,quick sort,partially sorted 90%,57.290600000

100000,10,radix sort,reversed,6.341700000
100000,10,radix sort,random,5.506550000
100000,10,radix sort,partially sorted 10%,5.844950000
100000,10,radix sort,partially sorted 30%,7.808630000
100000,10,radix sort,partially sorted 50%,7.456850000
100000,10,radix sort,partially sorted 70%,6.963870000
100000,10,radix sort,partially sorted 90%,7.730700000

1000000,1,radix sort,reversed,75.438100000
1000000,1,radix sort,random,63.979900000
1000000,1,radix sort,partially sorted 10%,76.167300000
1000000,1,radix sort,partially sorted 30%,129.390600000
1000000,1,radix sort,partially sorted 50%,86.713000000
1000000,1,radix sort,partially sorted 70%,76.479600000
1000000,1,radix sort,partially sorted 90%,73.946400000

----------------------------------------------------
QUICK SORT VS RADIX SORT

For 100,000:

-quick sort is faster on several partially sorted variants
-radix sort is faster on reversed and random
-overall: mixed, but radix sort is very competitive

For 1,000,000:

-reversed: radix (75.4381 ms) beats quick (140.4770 ms)
-random: radix (63.9799 ms) crushes quick (273.8763 ms)
